"","ia_1ad","ia_2ad","ia_3ad","ia_4ad","ia_5ad","ia_6ad","ia_7men","ia_8men","ia_9men","ia_10men","ia_11men","ia_12men","plb_m","tot_integ"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,9
"4",1,0,1,0,0,0,1,0,1,0,1,1,0,6
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"7",1,0,1,0,0,0,0,0,0,0,0,0,0,5
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,20
"10",1,1,1,1,1,1,1,1,1,1,1,1,0,5
"11",0,0,1,0,0,0,0,0,0,0,0,0,0,3
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"15",1,1,1,1,0,0,1,1,1,1,1,1,0,4
"16",1,0,1,0,0,0,1,1,1,0,0,0,0,5
"17",1,0,0,0,0,0,0,0,0,0,0,0,0,6
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"20",1,0,0,0,0,0,0,0,0,0,0,0,0,7
"21",1,0,1,0,0,0,1,1,0,0,0,0,1,7
"22",1,0,1,0,0,0,1,1,1,0,0,0,0,3
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25",1,0,1,0,0,0,1,1,1,0,1,0,0,4
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"27",1,1,0,0,0,0,0,0,0,0,0,0,0,3
"28",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"29",1,1,1,1,1,1,0,0,0,0,0,0,0,3
"30",0,0,0,0,0,0,1,1,1,1,1,0,0,7
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"32",1,1,1,1,1,1,1,1,1,1,1,1,0,6
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"35",1,0,0,0,1,0,0,0,0,0,0,0,0,4
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"37",1,0,1,0,0,0,1,0,0,0,0,0,0,11
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"39",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"41",1,1,1,1,1,1,1,0,1,0,0,0,0,5
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"44",1,0,0,0,0,0,0,0,0,0,0,0,1,7
"45",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"46",1,1,1,1,1,1,1,1,1,1,1,1,0,4
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"48",1,0,1,1,1,0,1,0,1,0,0,0,1,3
"49",0,0,0,0,1,0,1,0,1,0,0,0,0,4
"50",1,1,1,1,1,1,1,1,0,1,1,1,1,4
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,4
"53",0,1,1,1,1,0,0,0,0,0,0,0,1,7
"54",1,0,0,0,0,0,1,1,1,0,0,0,0,4
"55",0,0,1,0,0,0,0,0,0,0,0,0,0,5
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"57",1,1,1,1,1,1,1,1,1,1,1,1,1,5
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"59",0,0,0,0,1,0,0,0,0,0,0,0,0,3
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"62",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"63",0,1,0,1,1,1,0,1,0,1,1,0,1,6
"64",1,1,1,0,1,1,1,1,1,0,0,0,1,7
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"67",1,1,1,0,1,1,1,1,1,0,0,0,0,9
"68",1,0,1,0,0,0,1,1,1,0,0,0,0,5
"69",0,0,0,0,0,0,0,0,0,0,0,0,1,6
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"71",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,11
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"74",1,0,0,0,1,0,1,1,1,0,0,0,0,6
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"76",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"77",1,0,0,0,0,0,1,0,0,0,0,0,1,5
"78",0,0,1,1,1,0,0,0,0,0,0,1,0,4
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"81",1,0,1,0,0,0,1,0,0,0,0,0,0,5
"82",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"83",1,0,0,0,0,0,0,0,0,0,0,0,1,4
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"85",1,0,0,1,0,0,1,0,1,0,0,0,0,5
"86",1,0,1,0,0,0,1,0,0,0,0,0,0,4
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"90",1,1,1,1,1,1,0,0,0,0,0,0,0,4
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,6
"94",0,1,1,1,1,1,0,0,0,0,0,0,0,4
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"96",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"98",0,1,0,0,1,1,0,0,0,0,0,0,0,3
"99",1,0,1,0,0,0,0,0,0,0,0,0,1,4
"100",0,1,1,1,0,1,1,0,0,0,0,0,0,3
"101",1,0,0,0,0,0,1,0,0,0,0,0,1,3
"102",1,1,1,1,1,1,1,1,1,0,1,0,0,8
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"104",1,1,1,1,1,1,1,1,1,0,0,0,1,10
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"107",1,0,1,0,0,0,1,1,1,0,1,0,0,5
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"109",1,1,1,1,0,0,0,0,0,0,0,0,0,8
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"111",1,0,1,0,1,0,1,1,0,0,0,0,1,4
"112",1,0,0,0,0,0,1,1,1,0,0,0,0,4
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"114",1,0,0,0,0,0,1,0,0,0,0,0,0,5
"115",1,1,1,0,1,1,1,1,0,0,0,0,0,5
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,5
"117",0,1,1,0,1,0,0,0,0,0,0,0,0,5
"118",1,1,1,1,1,1,1,1,1,1,1,1,1,4
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"122",0,0,0,0,0,0,0,0,0,0,0,0,1,4
"123",1,1,1,1,1,0,0,0,0,0,0,0,1,6
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"130",0,0,0,0,0,0,0,0,0,0,0,0,1,12
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"133",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"136",1,1,1,1,1,1,1,1,1,1,1,0,1,5
"137",1,1,1,1,1,0,1,1,0,1,0,0,1,5
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"139",1,1,1,0,1,1,1,1,1,0,0,0,0,5
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"142",0,0,1,0,0,0,0,1,1,0,0,0,0,3
"143",1,0,1,1,1,1,1,1,1,1,1,0,1,3
"144",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"147",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"148",1,1,1,0,1,1,1,1,1,1,1,1,0,5
"149",0,0,0,0,0,0,0,0,0,0,0,0,1,7
"150",1,1,1,1,1,1,1,1,1,1,1,1,0,4
"151",1,0,1,0,0,0,1,0,1,0,0,0,0,4
"152",1,1,0,0,1,0,0,0,0,0,0,0,1,5
"153",1,0,1,1,0,1,1,0,0,0,0,0,1,4
"154",1,1,1,0,0,0,1,0,0,0,0,0,1,3
"155",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"156",1,1,1,1,1,0,1,1,1,1,1,1,0,4
"157",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"158",0,0,0,0,0,0,0,0,0,0,0,0,0,9
"159",1,1,1,0,0,1,1,1,0,1,1,1,0,3
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"161",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"162",1,0,0,0,0,0,1,0,0,0,0,0,0,7
"163",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"164",1,0,1,0,0,0,1,1,1,0,0,0,0,7
"165",0,0,1,0,0,0,0,0,0,0,0,0,0,4
"166",1,0,1,0,0,1,1,1,1,0,0,0,1,4
"167",0,0,0,0,0,0,0,0,0,0,0,0,1,2
"168",1,0,1,0,0,0,1,1,0,0,0,0,0,6
"169",1,1,0,1,0,0,1,1,1,0,0,0,0,3
"170",0,0,1,0,0,0,0,0,0,0,0,0,1,5
"171",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"172",1,1,0,0,0,0,0,0,0,0,0,0,0,4
"173",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"175",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"176",1,1,0,0,1,0,1,1,0,0,0,0,0,4
"177",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"178",1,1,1,1,1,1,0,0,0,0,0,0,1,8
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"180",0,0,0,0,0,0,1,0,1,0,0,0,1,9
"181",1,1,1,1,1,1,1,1,1,1,1,1,0,3
"182",0,0,1,0,0,0,0,0,0,0,0,0,0,5
"183",0,0,0,0,0,0,1,0,0,0,0,0,0,4
"184",1,0,0,0,0,0,0,0,0,0,0,0,0,7
"185",1,1,1,1,1,1,1,1,1,1,1,1,0,4
"186",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"187",1,0,0,0,0,0,0,0,0,0,0,0,0,7
"188",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"190",1,0,0,1,0,0,0,0,0,0,0,0,0,5
"191",1,0,0,0,1,0,1,1,0,0,0,0,0,9
"192",1,1,1,1,1,1,1,1,1,1,1,1,0,6
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"194",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"195",0,0,0,0,0,0,0,0,0,0,0,0,1,12
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"197",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"198",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"200",0,0,1,0,1,0,0,1,1,1,0,0,0,4
"201",0,0,0,0,1,0,0,0,0,0,0,0,0,9
"202",1,0,1,0,0,0,0,0,0,0,0,0,0,4
"203",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"204",1,0,0,0,0,0,0,0,0,0,0,0,1,5
"205",1,1,1,1,1,1,0,0,0,0,0,0,1,9
"206",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"207",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"208",1,0,0,0,0,0,1,0,0,0,0,0,0,6
"209",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"210",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"211",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"212",1,0,0,1,0,0,0,0,0,0,0,0,0,4
"213",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"214",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"215",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"216",1,0,1,0,0,0,1,1,1,1,1,1,1,4
"217",1,1,1,1,1,0,1,1,1,1,0,0,1,10
"218",0,0,1,0,1,0,0,0,0,0,0,0,0,4
"219",1,1,1,0,1,0,1,1,1,1,1,0,1,4
"220",0,0,0,0,0,0,1,0,0,0,0,0,0,2
"221",0,0,0,0,0,0,0,0,0,0,0,0,1,7
"222",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"223",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"224",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"225",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"226",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"227",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"228",1,1,1,1,1,0,0,0,1,0,0,0,0,3
"229",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"230",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"231",0,0,0,0,0,0,0,0,0,0,0,0,0,8
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,3
